name,link,salary,employer,address
Инженер-проектировщик ИССО,https://spb.hh.ru/vacancy/66105020,"{'min': 150000, 'max': 200000, 'cur': 'руб.'}",ООО СиАрСиСи Рус,"Москва, Калужская"
Ведущий инженер ПТО,https://spb.hh.ru/vacancy/54951125,"{'min': None, 'max': 130000, 'cur': 'руб.'}",ООО Строймонтаж,Москва
Ведущий инженер-технолог,https://spb.hh.ru/vacancy/66073174,"{'min': 71854, 'max': 71854, 'cur': 'руб.'}",Московский филиал ФГУП Московское ПрОП Минтруда России,Москва
Сетевой инженер,https://spb.hh.ru/vacancy/55567388,"{'min': 120000, 'max': 160000, 'cur': 'руб.'}",ДАТАПРО,Москва
"Главный инженер, г. Нижнеангарск",https://spb.hh.ru/vacancy/66138195,"{'min': 250000, 'max': None, 'cur': 'руб.'}",Kelly Services,Чита
Инженер-конструктор (механик),https://spb.hh.ru/vacancy/66114836,"{'min': None, 'max': 130000, 'cur': 'руб.'}",АО Обуховское,"Санкт-Петербург, Московские ворота"
Инженер-строитель,https://spb.hh.ru/vacancy/66116993,"{'min': None, 'max': 135000, 'cur': 'руб.'}",ПИК,Москва
Инженер ПТО,https://spb.hh.ru/vacancy/55303468,"{'min': 100000, 'max': 120000, 'cur': 'руб.'}",ООО КомАль,Красноярск
Инженер-технолог штамповочного производства,https://spb.hh.ru/vacancy/55514537,"{'min': 70000, 'max': None, 'cur': 'руб.'}",ООО Прайм,Москва
Инженер-схемотехник в отдел НИР,https://spb.hh.ru/vacancy/55150471,"{'min': 67500, 'max': 82500, 'cur': 'руб.'}",НПО САУТ,"Екатеринбург, Уральская"
Инженер-конструктор,https://spb.hh.ru/vacancy/66146863,"{'min': 80000, 'max': 120000, 'cur': 'руб.'}",ООО Арайд,Санкт-Петербург
Инженер проектировщик - технолог очистных сооружений биологической очистки,https://spb.hh.ru/vacancy/55196235,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО ЦПИО,Москва
Ведущий инженер-конструктор,https://spb.hh.ru/vacancy/55300269,"{'min': 120000, 'max': None, 'cur': 'руб.'}","Реком, Завод Деталей Трубопроводов","Санкт-Петербург, Площадь Александра Невского 2"
Инженер строительной лаборатории,https://spb.hh.ru/vacancy/55155452,"{'min': 80000, 'max': 100000, 'cur': 'руб.'}",ООО Строймат и К,Москва
Инженер ПТО,https://spb.hh.ru/vacancy/54550456,"{'min': 110000, 'max': 150000, 'cur': 'руб.'}",ООО ПН СтройИнновация,Пермь
Инженер по обслуживанию систем КСОБ,https://spb.hh.ru/vacancy/55230839,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО Первая Газовая Компания,"Санкт-Петербург, Московские ворота"
Инженер ПТО,https://spb.hh.ru/vacancy/55550502,"{'min': 90000, 'max': None, 'cur': 'руб.'}",ООО Айком Инжиниринг,Москва
Инженер-электроник,https://spb.hh.ru/vacancy/55906767,"{'min': None, 'max': 150000, 'cur': 'руб.'}",ООО МЕТИЗ ИМПЭКС,Москва
Инженер по первичному осмотру объектов,https://spb.hh.ru/vacancy/55548614,"{'min': 75000, 'max': None, 'cur': 'руб.'}",ООО Авинком,Москва
Инженер-дефектоскопист,https://spb.hh.ru/vacancy/66140618,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО ГРЭЙ,Нижневартовск
Инженер КИПиA (Инженер по обслуживанию газового оборудования/Теплотехник/Наладчик оборудования),https://spb.hh.ru/vacancy/55463267,"{'min': 120000, 'max': 120000, 'cur': 'руб.'}",ПромГазСервис,Уфа
Инженер АСУП,https://spb.hh.ru/vacancy/55594483,"{'min': 70000, 'max': None, 'cur': 'руб.'}",ОАО Кирово-Чепецкий кирпичый завод,Киров (Кировская область)
Инженер-технолог Производственно-технического отдела (аммиак),https://spb.hh.ru/vacancy/55341949,"{'min': None, 'max': None, 'cur': None}",Метафракс Групп,Губаха
Инженер-конструктор (технический специалист),https://spb.hh.ru/vacancy/55191273,"{'min': 90000, 'max': None, 'cur': 'руб.'}",Икапласт,Санкт-Петербург
Инженер ПТО,https://spb.hh.ru/vacancy/55198423,"{'min': 80000, 'max': None, 'cur': 'руб.'}",СК Полигран,Краснодар
Инженер-технолог/Технический писатель,https://spb.hh.ru/vacancy/55486086,"{'min': 80000, 'max': 100000, 'cur': 'руб.'}",ООО ENGY,"Москва, Кантемировская"
Инженер-электроник (стажёр),https://spb.hh.ru/vacancy/55430191,"{'min': 25000, 'max': 100000, 'cur': 'руб.'}",ООО АгроТехСервис,Белгород
Ведущий инженер-конструктор,https://spb.hh.ru/vacancy/55480239,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО Инновационная Техника и Технологии,"Санкт-Петербург, Московские ворота"
"Главный инженер,начальник окс",https://spb.hh.ru/vacancy/66080992,"{'min': 100000, 'max': 150000, 'cur': 'руб.'}",ООО МПГС,Уфа
Сервисный инженер,https://spb.hh.ru/vacancy/54844274,"{'min': 30000, 'max': 150000, 'cur': 'руб.'}",ООО ПОЖТЕХПРОМ,Кемерово
Главный инженер проекта,https://spb.hh.ru/vacancy/55442031,"{'min': 200000, 'max': None, 'cur': 'руб.'}",ООО Технологии Строительных Проектов,Москва
Инженер-стажер,https://spb.hh.ru/vacancy/54901444,"{'min': None, 'max': None, 'cur': None}",INTACT,Москва
Инженер,https://spb.hh.ru/vacancy/66127362,"{'min': 70000, 'max': 77000, 'cur': 'руб.'}",ООО Тайгер Микс,Владивосток
Помощник инженера-проектировщика,https://spb.hh.ru/vacancy/55218543,"{'min': 55000, 'max': 70000, 'cur': 'руб.'}",Студия-ДК,Москва
Ведущий-инженер конструктор,https://spb.hh.ru/vacancy/55596323,"{'min': 130000, 'max': 150000, 'cur': 'руб.'}",ООО ПИР-М,Москва
Инженер-электроник,https://spb.hh.ru/vacancy/55052230,"{'min': 120000, 'max': None, 'cur': 'руб.'}",ООО Каури,"Санкт-Петербург, Лесная"
Инженер ПТО,https://spb.hh.ru/vacancy/54355074,"{'min': 145000, 'max': 200000, 'cur': 'руб.'}",АО Ямалгипротранс,Тобольск
Инженер-конструктор,https://spb.hh.ru/vacancy/55367074,"{'min': None, 'max': 4000, 'cur': 'руб.'}",ООО Институт физики НАН Беларуси,"Минск, Академия наук"
Ведущий инженер расчетчик,https://spb.hh.ru/vacancy/55562072,"{'min': 80000, 'max': 100000, 'cur': 'руб.'}",ООО Инженерные Технологии,"Санкт-Петербург, Новочеркасская и еще 1 "
Инженер ПТО/Ведущий инженер ПТО,https://spb.hh.ru/vacancy/66068008,"{'min': 120000, 'max': 150000, 'cur': 'руб.'}",ООО Промстроймонтаж,Воронеж
Главный инженер проекта,https://spb.hh.ru/vacancy/55384027,"{'min': 110000, 'max': 190000, 'cur': 'руб.'}",ООО ИНТЭКС,Екатеринбург
Инженер по эксплуатации,https://spb.hh.ru/vacancy/55554161,"{'min': 40000, 'max': 60000, 'cur': 'руб.'}",ООО Центр Вест,Омск
Инженер-монтажник,https://spb.hh.ru/vacancy/66067030,"{'min': 65000, 'max': None, 'cur': 'руб.'}",ООО Мелдана,Горнозаводск
Ведущий инженер,https://spb.hh.ru/vacancy/55148506,"{'min': 140000, 'max': None, 'cur': 'руб.'}",HMPS BUSINESS,Москва
Инженер-конструктор,https://spb.hh.ru/vacancy/47191644,"{'min': 80000, 'max': 130000, 'cur': 'руб.'}",ForAvia,Обнинск
Инженер по автоматизации технологических процессов,https://spb.hh.ru/vacancy/55292668,"{'min': 70000, 'max': 120000, 'cur': 'руб.'}",Акционерное общество Специализированное монтажно-наладочное управление цветметналадка,Норильск
Инженер,https://spb.hh.ru/vacancy/55319106,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО КОСИМА,"Санкт-Петербург, Петроградская"
Инженер/Ведущий инженер ПТО (Балаково),https://spb.hh.ru/vacancy/66062953,"{'min': 100000, 'max': 125000, 'cur': 'руб.'}",ООО Смарт Констракшн,Балаково
Инженер-механик технологического оборудования,https://spb.hh.ru/vacancy/66112863,"{'min': 110000, 'max': None, 'cur': 'руб.'}","ООО ТехИнновации, филиал г. Россошь",Уфа
Инженер по ремонту,https://spb.hh.ru/vacancy/66131978,"{'min': 73000, 'max': 73000, 'cur': 'руб.'}","Экопром СПб,ООО","Санкт-Петербург, Кировский завод"
Инженер ПТО,https://spb.hh.ru/vacancy/66132654,"{'min': 140000, 'max': None, 'cur': 'руб.'}",АО НПО Аконит,Иркутск
Инженер РСР,https://spb.hh.ru/vacancy/66065021,"{'min': 50000, 'max': None, 'cur': 'руб.'}",ООО Эко-Сервис,Ульяновск
Сервисный инженер,https://spb.hh.ru/vacancy/55065148,"{'min': 90000, 'max': None, 'cur': 'руб.'}",ProfiStaff,Москва
Инженер по сервису,https://spb.hh.ru/vacancy/66066561,"{'min': 60000, 'max': None, 'cur': 'руб.'}",Веза,Краснодар
Главный инженер проекта,https://spb.hh.ru/vacancy/66152970,"{'min': 120000, 'max': 170000, 'cur': 'руб.'}",ООО САС,Москва
Инженер по техническому сопровождению проектов (Энергетика),https://spb.hh.ru/vacancy/66115289,"{'min': None, 'max': None, 'cur': None}",ООО НЭМЗ,Москва
Инженер-эколог,https://spb.hh.ru/vacancy/55550017,"{'min': 60000, 'max': 100000, 'cur': 'руб.'}",ООО ГЛАВЛАБГРУПП,Москва
